"Device","Function Group","Function Name","Zone","ID1 Code","ID2 Code","Comment","Export Comment – starting this with # will comment out the code as well"
"RECEIVER","ZONE_CONTROL","PARTY_OFF","-","7E-3649","7E-3648","767 867 1067 2067 3067",
"RECEIVER","ZONE_CONTROL","PARTY_ON","-","7E-354A","7E-354B","767 867 1067 2067 3067",
"RECEIVER","MEMORY","SCENE5","MAIN","7A-90EF","7A-90EE","1067 2067 3067",
"RECEIVER","MEMORY","SCENE6","MAIN","7A-91EE","7A-91EF","1067 2067 3067",
"RECEIVER","MEMORY","SCENE7","MAIN","7A-92ED","7A-92EC","1067 2067 3067",
"RECEIVER","MEMORY","SCENE8","MAIN","7A-93EC","7A-93ED","1067 2067 3067",
"RECEIVER","MEMORY","SCENE9","MAIN","7A-94EB","7A-94EA","1067 2067 3067",
"RECEIVER","MEMORY","SCENE10","MAIN","7A-95EA","7A-95EB","1067 2067 3067",
"RECEIVER","MEMORY","SCENE11","MAIN","7A-96E9","7A-96E8","1067 2067 3067",
"RECEIVER","MEMORY","SCENE12","MAIN","7A-97E8","7A-97E9","1067 2067 3067",
"RECEIVER","MEMORY","VIDEO_PRESET1","MAIN","7E-A4DB","7E-A4DA","2067 3067",
"RECEIVER","MEMORY","VIDEO_PRESET2","MAIN","7E-A5DA","7E-A5DB","2067 3067",
"RECEIVER","MEMORY","VIDEO_PRESET3","MAIN","7E-A6D9","7E-A6D8","2067 3067",
"RECEIVER","MEMORY","VIDEO_PRESET4","MAIN","7E-A7D8","7E-A7D9","2067 3067",
"RECEIVER","MEMORY","VIDEO_PRESET5","MAIN","7E-A8D7","7E-A8D6","2067 3067",
"RECEIVER","MEMORY","VIDEO_PRESET6","MAIN","7E-A9D6","7E-A9D7","2067 3067",
"RECEIVER","MEMORY","VOLUME_MEMORY1","MAIN","7E-6B","7E-6B95","767 867 1067 2067 3067",
"RECEIVER","MEMORY","VOLUME_MEMORY1","ZONE2","7E-87","7E-8779","767 867 1067 2067 3067",
